catalogusName,quantity,defaultPrice,availableAt,designNumber,unit,details,totalquantityPerBox,category
ANKARA,"""0"" ROLL",2500,DELHI,34051,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
ANKARA,"""0"" ROLL",2500,DELHI,34052,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
ANKARA,"""0"" ROLL",2500,DELHI,34053,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
ANKARA,"""0"" ROLL",2500,DELHI,34054,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
ANKARA,"""0"" ROLL",2500,DELHI,34055,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
ANKARA,"""0"" ROLL",2500,DELHI,34056,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
ANKARA,"""0"" ROLL",2500,DELHI,34061,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
ANKARA,"""0"" ROLL",2500,DELHI,34062,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
ANKARA,"""0"" ROLL",2500,DELHI,34063,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
ANKARA,"""0"" ROLL",2500,DELHI,34064,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
ANKARA,"""0"" ROLL",2500,DELHI,34065,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
ANKARA,"""0"" ROLL",2500,DELHI,34066,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
ANKARA,"""0"" ROLL",2500,DELHI,34071,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
ANKARA,"""0"" ROLL",2500,DELHI,34072,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70001-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,,750,DELHI,70001-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70001-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70001-4,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70002-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70002-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70002-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,,750,DELHI,70002-4,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70002-5,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70002-6,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70003-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70003-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70003-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70003-4,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70004-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70004-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,,750,DELHI,70004-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70004-4,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70005-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70005-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70005-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70006-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,,750,DELHI,70006-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,,750,DELHI,70006-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70007-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70007-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70007-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70008-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70008-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70008-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70009-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,,750,DELHI,70009-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70009-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70009-4,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70010-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70010-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70010-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70010-4,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70011-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70011-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70011-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70011-4,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70012-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70012-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70012-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70013-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70013-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70013-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70014-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70014-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70014-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70015-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70015-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70015-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70016-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70016-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70016-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,,750,DELHI,70017-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,,750,DELHI,70017-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70017-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70017-4,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70018-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70018-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70018-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70018-4,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70019-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70019-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70020-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70020-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70020-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70021-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70021-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70021-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BELLA,"""0"" ROLL",750,DELHI,70021-4,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,,750,DELHI,F701-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F701-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,,750,DELHI,F703-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F703-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,,750,DELHI,F703-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F703-4,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F703-5,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F703-6,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F703-7,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F704-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,,750,DELHI,F704-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F704-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F704-4,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F704-5,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F705-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F705-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F705-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F705-4,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F706-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F706-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F707-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F707-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,,750,DELHI,F707-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,,750,DELHI,F707-4,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F707-5,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,,750,DELHI,F707-6,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,,750,DELHI,F708-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,,750,DELHI,F708-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,,750,DELHI,F708-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F708-4,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,,750,DELHI,F708-5,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F709-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F709-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F709-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F709-4,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F709-5,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F710-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F710-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F710-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F710-4,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F711-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,,750,DELHI,F711-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,,750,DELHI,F711-3,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F712-1,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
BIGWIN,"""0"" ROLL",750,DELHI,F712-2,ROLL,10 M X 0.53 CM (57 SQFT),,WALLPAPER ROLL
